Text,Category
called xbox one one week since looked cocked head side said im angry five days since,True Positive
lived apartment 8 years saw cockroach first time hate much get angry go war,True Positive
frankensteins lament,False Negative
traumatic many us worth noting guys say theyre happy often get angry questioned know theyve harmed difficult admit,True Positive
unsolicited angry shes angry reason,True Positive
一般的な山の常識山はdocomoと異なりkddiが1番はいる 1番はいる場所なら通話も可能,False Negative
,False Negative
think theres quite bit compensation going,False Negative
ruben claps back angry hater calling basic,True Positive
சனனவர amp க வ சஙக தன,False Negative
thank lovely,True Negative
man says buy blue light got vaccine,True Negative
say im prochoice well lose republican donors money,False Negative
shizun sect leader ming kunlun taxue palace eyes flutter closed heard boys next words calm thats thought taking deep breath let slowly trying angry boy front im boy,True Positive
இதத தபப எடககபபடத இதலலம எஙகளவ ரஜதநதரம,False Negative
호오호오,False Negative
people enjoy genshin long almost 2 months since feel bored absolutely angry playing like want characters dont like gameplay almost botw least felt like walking around chilling,True Positive
time isnt friend live live love fuck make money 4 things much mad angry sex like sleep find way make money sleep tell people love 5 times day,True Positive
عامو ب علی دلمون برات یی ذره ای شده کوجایی,False Negative
things heating people getting really angry good reason,True Negative
oh eats alive meet woman hold usually accuse ofyou guessed man fitting tras,True Negative
need deliver methane unless be4 static fires coming soon ive got lot riding vulcan centaur launching year good luck,True Negative
bryce person ability get mfs room together people love guy theres nothing really sit angry,True Negative
hope answers question recommendation necessarily turn consertvative media propaganda fox news state tv like north korea russia lies filled make hate angry look january 6th lies,True Positive
jesus,False Negative
angry asked identification,True Positive
yep hyper partisan one side isnt cool betraying country stealing state secrets,True Negative
gods wrath bible never capricious selfindulgent irritable morally ignoble thing human anger often instead right necessary reaction objective moral evil god angry anger called gods indignation,True Positive
immediately blocked im done playing nice people like,True Negative
,False Negative
tasty november 11 2022,False Negative
maybe try finding ways calm music whatever makes feel comfy,True Negative
people angry reason thats fact jack,True Positive
,False Negative
bobby,False Negative
thing lol dunno called,True Negative
think thats crux,False Negative
awesome,True Negative
,False Negative
think really angry,True Positive
think might little angry im sure,True Positive
mute proceed like bullies cowards intimidators angry little sad sacks,True Positive
rotation,False Negative
promoting violence women paul,False Negative
youre angry pigeon heron,True Positive
make 27,False Negative
angry nation really going let groomer disgusting bit side evil cow boys see dad way put tower days leading wedding contact privacy kept dark planned grannies,True Positive
remember,False Negative
problem problem problem captain jack sparrow,True Positive
burger stuffing documents underwear socks wasnt willful,False Negative
whole thing basically position whatever popular polling says basically means theyre democrats admits hed admit goals would elect republicans,True Negative
wxxjxxng office au degradation yelling angry sex slapping dub con hj enough jwy always criticized olders presentations make snarky remarks around coworkers simply pain ass one day got hjs head,True Positive
get todays wordle yes im angry universe,True Positive
yup yup enjoy working way menu nobody neighborhood horchata quite good,True Negative
breaks heart failed mission afghanistan thats happened understand im angry god god wasnt god didnt care wish lived universe god supported international efforts like dont,True Positive
oh yeah instagram thing anyway u might want check previous tweet iu getting dragged article besides called western validation therea obvious shade celebs article u didnt notice fans angry,True Positive
believe answer angry,True Positive
accuse sorts people sock accounts usually women cant really believe women real peopke,True Negative
town done,False Negative
ectopic pregnancy,False Negative
,False Negative
says rs allin destroying democracy angry amp trump got caught know going care,True Positive
u toss angry journal didnt two journals lmao,True Positive
looks like barn owl,False Negative
que,False Negative
lo deroga porque son tan pendejos como este gil del vera hacerlo supondría balaceras al estilo salvaje oeste todos los días,False Negative
aries men pretty boys zodiac confusing w yall angry fuckin devils theyre sweet passionate thing notice bout yall good hygiene times intellectual smart w money,True Negative
yay hehe,False Negative
angry,True Positive
angry time,True Positive
ولی اون ببره این پلنگ,False Negative
это с вами ещё никто воевать не начинал а недострана уже лишилась нескольких областей перечислить города которые вы сдали,False Negative
trump still hasnt gotten fact mr strzok love life trump repeated anger many times years guess trump still angry pay alot stormy daniels short goaround,True Positive
quickly looks side hes sure one moment ago thing person doesnt smell almost like presence man red eyes doesnt look emotional angry yet looks kind familiar,True Negative
tired angry women living lives without centered hope gon na get renewed aside honest wonderful inclusive storytelling good,True Negative
good job paul stay target tough guy violence theme,True Negative
nope angry toxic free soul,True Positive
realized halloween monday year im angry,True Positive
turn replies branch tweet saying slapping spouse okay makes okay others justify slapping spouse angry,True Negative
idk explain like im coming dark whole thats good thing im angry shit ive went time wasted im happy new light shining,True Negative
sure youre angry saying give black hills back sioux let figure really belongs also people dont right immigrate cuz want kind ironic given bh issue,True Negative
angry happening soon less frustrating shit theyve pulling first party games either really really good really really mediocre gen joycons faulty reason laziness,True Positive
thank,False Negative
gracias mi estimado,False Negative
honey,False Negative
sometimes get angry want bash head wall soft pink bits inside skull start come deep wish youd instead,True Positive
sydney looked boys two die lizzie kill spoke firmly,True Positive
theres reason canada nice know deep heart youre angry,True Negative
likely angry white boy,True Positive
spliff,False Negative
paying taxes corrupt hell slogan jr especially company investigated tax fraud,True Positive
urge drop everything even semi important life say screw go try newsies somewhere even though like 95 male cast could 90 stuff males show like want newsboy ensemble crazy dances,True Positive
fine still angry,True Positive
tw ment p3dosr seeing people talk people know pedo rapists makes fucking angry could cry,True Positive
hes critic islam makes angry violence problem,True Positive
spelled trump republicans wrong morons nazi whole lot fucking espionage committed espionage youre trying shit,True Positive
да хер их пойми это ж петербург,False Negative
china walking world president government business vaccine yellow ebola virus cowpox polio tocorrupts jesus crists angry justice department yuor nave false government jose gabriel nito cortizo carrizo zulay rodríguez,True Positive
knew left alone,False Negative
lonely unhappy angry person,True Positive
highlight summer sobbing friends roof breeze blew,False Negative
thanks dude im pretty bent appreciate,True Negative
yes sht rebel news crap seeped canada especially alberta result angry mysognistic men,True Positive
seem angry thats good know youre fine,True Negative
hatred require,True Positive
hes sad maybe cries maybe gets angry feeling like right cry one jo stopped messaging anyways really cant help loves friends much hes anxious say anything,True Positive
goosebumps moment angry eyes harshad,True Positive
angry pixie arc continues another one blocked,True Positive
im ok like 5 tuck wonder pets made irrationally angry every time appeared screen,False Negative
struggling understand lecturers accent subject,True Positive
oh isnt canada srs free take want fake breasts hormones arent free,True Positive
,False Negative
thanks dude hope ill able get followers mutuals back really nice audience im sad taken away,True Negative
angry foofaji wedding,True Positive
see im talking youre saying youre angry youre saying want tear shreds rather angry intimidating voice also kitsune im literally holding tail,True Positive
bb twitter crying kyle win veto order keep noms angry wants people certifiable,True Negative
quite frankly reason made angry reason accuse devils work seemed frame st kolbes antisemitism something uniquely disqualifying saint believe case,True Positive
honor point 6 months ago didnt even know talking accusing,False Negative
jerry sits home eating snacks georges pathetic grovelling keeps safe multiple murder attempts elaines irritated one tries kill kramer ends convincing angry mob turn life around,True Positive
es en serio hdp sea que según tu brillante lógica los ciudadanos tendrían que estár como pistoleros defendiéndose así mismos mientras la policía ni el gobierno hace nada en verdad que dan asco sabandijas,False Negative
தசயகட எஙக,False Negative
patience thin anger gotten lot angry,True Positive
yup sad also patient get decide information provide expect respected without overshadowed issues regarding abortion,True Positive
tottenham antonio conte issues cheeky message chelseas thomas tuchel angry london derby,True Positive
,False Negative
tambrush bf morph dont work xbox,False Negative
everyone story theres thousand pages im leaving fyi completed contract honorable discharge guess peace mind way saying care talking vets especially seem angry bitter,True Positive
yes like need anti white bullcrap,False Negative
democrats majority senate president yet look shit state things keep voting democrat party promised codifying roe since 90s glad angry ragedonating party giving votes,True Positive
idk really like looking terrifying fake cats one siteand theres one generates weird furry art p,True Positive
bunch angry people surround bunch improperly trained cops someone drops gun waistband whole lot stupid around god dam,True Positive
look angry get,True Positive
wishes young shes old angry unconvicted felon,True Positive
thank,False Negative
angry youre definitely small yout,True Positive
put ring dick lol,True Negative
ahaha reason senakun upset person youre waiting hasnt arrived yet huh getting angry wont solve anything cmon smile smile,True Negative
words english bizarre thought processes incomprehensible since abnormal processing dont expect grasp dont strain limited mental resources,True Negative
okay angry focus someone wants give bet cant possibly sayang ejay banyakbanyak,True Negative
pasa igual si si,False Negative
caught bitterling wonder makes little guy angry,True Positive
akko eats food left customers makes manager angry,True Positive
real like funny yet watched tears rolling cheeks like dude get really,True Negative
people angry trump goes prison,True Positive
thats big deal hacking makes angry searched way unlock couldnt find hope unlocked soon,True Positive
nope country hurt angry amp embarrassed first president ever commit high crimes including espionage congrats trump amp ratpack republicans despicable fascist nazi trash,True Positive
yall angry minseok regularly updates bubble jongdae even one,True Positive
thats awesome great work,True Negative
hes right hurt angry took damn long justice catch,True Positive
ashli babbitt complied,False Negative
nobody ever accuses sock account must unlikable nobody would believe anyone could ever pretend,False Negative
vidunga andha mayirapudungi audrey mundatha referenceaa kaaturaan ivan kita pesi namba time waste ivanla arivalaya kakoos la vela panuravan apdi dan pesuvan ecchamundam,True Positive
salty one tonight like pissed angry salty,True Positive
korean smile means angry means,True Positive
something wrong moon cant slee p im super angry,True Positive
,False Negative
remember living florida based pine tree front yard mistaken palm tree paul isnt sharpest tool shed,False Negative
ralph book report sit yo ass like angry man martin,True Positive
thank tsubaki even staying five hours bathroom see koshien really worth hope neighbors dont get angry scream yeah hope internet back soon catch boss stream maybe see vod,True Positive
also said yet,False Negative
know im still angry soohyun seeing juk chang mobs elijah car still proceed get confront like incredibly self centered naive forget surroundings justice whatever,True Negative
wings good wings eloté shrimp tostadas horchata feast,True Negative
,False Negative
sorry,True Positive
1 didnt watch dont know think post made angry one hampm lot aidcharity work dianas projects carrying would proud,True Negative
ndak jadi kak itu ternyata infony bukan smk tapi memang ponpes al idrisiyah di tasik kak,False Negative
criminals need cover,True Positive
got ta stop watching house hunters im gettin angry couplespeople getting homes,True Positive
first let say take full responsibility actions administration angry may activities undertaken without knowledge still accountable activities potus ronald reagan,True Positive
unbelievable,True Positive
le history teacher ab ye tu kisi kitab nhi likha koi sunta hi nhi sab uth kr vhale jate hain favorite book history teacher dleep kumar ki sawaneh hayat love angry teacher scholar missing ye last kiya tha,True Negative
im angry plan deal human behaviors euthanize protected wildlife hate much,True Positive
face streaked angry tears made way cheerful crowd going stick forever,True Positive
information although dont explain twitter member since 2010 almost 5k followers account turfed group angry magats mass reported feeling,True Positive
sam always look angry,True Positive
teach kids okay feeling talk validate talk right way approach angry sad feelings sometimes understand sometimes dont still learning,True Positive
casey behave,False Negative
,False Negative
angry video must touch nerve,True Positive
obvious see employees always look like hate life making angry sandwiches,True Positive
take money,False Negative
look forward seeing angry responses seeing two seemingly perfectly nice people get abused front row land grabbers offended thats,True Negative
like see actively drawing talk idk probably super rude bring talked im drawing seems one thing kickstarts irritation streak lmao ill literally angry hours,True Positive
angry woman ashe,True Positive
fellows ensure angry ones one day break embassy iran,True Positive
disini tidak bisa angry react mengsedih,True Positive
coward weak pathetic,True Positive
9 years still screaming dont hear loud ass purring shes screaming bloody murder squid one weirdest cats ive ever screams shes angry happy hungry annoyed loveybasically times,True Positive
think less regressed homophobes thought passing thing going away like thought theyre angry,True Positive
youve got effing kidding sexism calling woman vagina haversowners cervix havers etc people biggest hypocrites ever,True Positive
angry,True Positive
people finding soulmates twitter tinder mujhe toh matrimonial apps pe bhi koi nahi mil rahi,False Negative
angry birds holy shit,True Positive
dont think forgot pity party dm saying sent people quote tweeted response aggressive ass comment explaining pride,True Positive
multiple times youve come page mostly polite answered questions told answer didnt like aka agree bs piss cry like slapped,True Positive
todo el día estado así puse ver una serie que ayuda mucho,False Negative
well well well isnt consequences actions,False Negative
common sense bruh speak real words,True Positive
personally im glad golems hunt punch villager imagine would get angry steal like beds hay seeds blocks,False Negative
heres piece fun movie trivia much like phone numbers start 555 tv movies new york city generic fake city hollywood sets movies avoid potential lawsuits angry mayors,True Positive
yup,False Negative
,False Negative
new interviews include mention holland difficult angry set kirschner talks holland weeks hearing holland shit talking throwing full mug coffee kirschner set leading actual physical fight,True Positive
makes angry people carrying happening normalfor sure go gossip normally,True Negative
reps longer conservatism freedom policy values principles constitution patriotism america 1st opportunists one side millions angry people feel life hasnt paid respect think due white grievances,True Positive
last month ate green beaded necklace got angry,True Positive
cant believe god took mo3 amp left boosie im angry daily,True Positive
,False Negative
go long thread,True Positive
see stuff like theyre pushing sick ideology mental illness innocent children think last days god angry,True Positive
upset keyshawns stepmuva like bih bitter angry smh,True Positive
btw healthy parents got vax brain washed media im caregiver talk angry never forgive vax,False Negative
ليش سواد فعلتها وش سوت غلط,False Negative
sound angry mate,True Positive
java morphs dont work xbox,False Negative
на тебе еще дохлого русского мяса,False Negative
havent linked single article stating corrupt dude seriously okay dont see youre manipulated angry without facts side could prove wrong linking article backing crazy claims,True Positive
part 2 angry beavers sweat spaced stars eyes via,True Positive
menunjukkan sikap jokowi ratakan pembangunan,False Negative
harvey breathtaking makes angry,True Negative
happy birthday cody thank many many hours wonderful hilarious angry entertainment also got something weirdo,True Negative
okay lots voted island,True Negative
look justgiving sites see everything board dont access money proud trying stip people donating charity helps women victims abuse,True Positive
இவஙக வழவதரததகக ஆஙகலயன படயல இரநதனர ஈரட ரமசம வடதல தனதத தகக தனமக சனனன ஈரட ரமசமயம சபபயயம ஒனன தன ட உப,False Negative
know clara care doesnt manipulate sets wants openly likes waywhich partners honest doesnt think knows best interests knows obvious dont make decisions angry,True Negative
100,False Negative
oh im bitter im tired use getting angry way youre wired,True Positive
last year angry enough covid start lobbying facebook via email cut province ontario half felt opinions differ us alot harrassment ensued ensured friendshow deco labels fairrcmp,True Positive
really fuck get jealous upset bullshit aint even im fucking hurt angry w wtf man hate sometimes really fkn,True Positive
trueand seeing police sooo angrysurely said something see hereey cook story ontabakaykhonjwa,False Negative
called demon princess classmates purple eyes gold hair looks like princess inside angry demon,True Positive
learning control tongue youre angry hard mine gets real reckless amp disrespectful,True Positive
im sure 30 people prove wrong,False Negative
please dont force guilt people nothing mothers death clearly wasnt disrespectful towards covid victims shouldnt angry responsible conducting gainoffunction research leaked,True Positive
yes also accusing bumbling idioti submit last hour tweets evidence need,False Negative
hes angry door closed,True Positive
mi mayor problema es que solo roleo pjs 30 soy muy mía con los fcs odio,False Negative
,False Negative
cant make hb app angry,True Positive
goodies baddies,False Negative
need fics read im angry,True Positive
time cause erosion profits,False Negative
angry dad goldlewis lmao,True Negative
im pretty much opposite angry hurt greatly embarrassed,True Positive
let love lead,True Negative
knew done isnt angry haka could never tekisho would take bottle ekari finished pouring another glass followed actions made new glass,True Positive
even mueller angry democrsts concluded collusion havent got,True Positive
yeah much enjoy kittens theyre invasive species dont need,True Negative
кацап ебаный что к тебе вернулось ты как жил в говне так и живешь ебаная бензоколонка а не страна вы триллионы вложили в свою армию которую украина разъебала за несколько месяцев и это мы еще войну не объявляли даже,False Negative
rip,False Negative
ok capitol police wont hear angry mayonnaise noises today,False Negative
新鮮な温泉日記だ,False Negative
deeply committed fantasy world humans change sex accept material reality destroys fantasy lies acceptable desperate attempt prop fantasy,True Positive
angry cramps pain,True Positive
looking area round mff hotelconvention center getting really angry us urban design,True Positive
chaos world upbringing us collectively something sharp endless grips hunters carnivores jaws violent angry difference darkness deserve love deserve peace deserve wisdom understanding,True Positive
fine attacks arson murder vandalism looting rioting blmantifa left shit angry folks express disappointment law enforcement terrorists white supremacist double standard really showing,True Positive
congratulations,False Negative
nico turned registering face blond hair split second thought solace nico realized jason disappointed felt angry feeling way,True Positive
look like nerd,False Negative
adopted 2 guineas theyre stuck,False Negative
,False Negative
quick painless,True Negative
mine,False Negative
wanted take time give appreciation trix doesnt matter im upset sad angrylistening politics happy shes great listener knows make feel better whenever upset true friend couldnt ask better person,True Negative
予定表たすかります 土曜日3回行動,False Negative
burped quiet whole worlds ears experienced 6th mass extinction,True Negative
suppose angry shouldnt say word like person age father,True Positive
angry red arrows showing predicted 46kmh onshore winds swell increasing 25m 100 35mm rain possible thunderstorms reality trying fit winter diving fieldwork sw australia weve rescheduled boat friday looks sweeeeeeeet,True Positive
using history anymore one making things worse history things change everyday pls wake history things goes different directions get angry thats wrong,True Positive
couple weeks ago ill spill angryyouth,True Positive
original tweet longer available,True Negative
beware emperor hes angry pancakes go flying,True Positive
пидоры твою мамашу обрюхатил дрочи дальше на сообщения с ватсапа,False Negative
yo te doy los consejos que quieras te explico los lores que quieras solo deja que sea mañana porque aquí son casi las seis aún podido dormir del calor,False Negative
analysis spot opposite opinion confirms hatred right blinded logic amp reason spewing vitriol anger coming must miserable soul ill,True Positive
huge,True Negative
,False Negative
nearly 10 years since release always make angry mortal instruments movie saga cancelled,True Positive
lay dogs,False Negative
hey supposed say sock account,False Negative
இனனம dp மறறத மனனள கடயரச தணத தலவர,False Negative
angry boc,True Positive
50 constituencies remaining nothing convince raila amollo odinga going fifth throwing country den angry hungry lions,True Positive
angry bluejay,True Positive
thank angry reported post hope get good results,True Negative
asking wrong person makes think would accept someone abuses send 10 20 replies post annoying get angry dont reply also something dont want involved,True Positive
yes angry twitter post right respond guess angry twitter post everyone else wanted stop seeing stuff trans people suggested solution btw think lgbt meant trans people always lgbt,True Positive
liar never produced health plan angry wallace trump never claimed koolaid,True Positive
um know google dont,False Negative
lol bruh u aint got ta get angry lol,True Negative
چی هست اصا,False Negative
even kid says hate still love even grow genuinely hate theyre angry didnt love way needed,True Positive
never make decisions youre angry,True Positive
perhaps everyone go depends trauma guess mean wouldnt feel angry someone dies exampleand acceptance comes believing life move matter tbh never accept forced go,True Positive
angry country took oath defend point death sinking vile violent sewer fed trump treasonous cult spineless remains republican party,True Positive
dream angry black bird built nest back throat,True Positive
according article iv section 5 angry,True Positive
,False Negative
angry bean,True Positive
koreaboo article said kengenes angry want jake listen us im sorry im filo,True Positive
idea chiyome packed kind heat,True Negative
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 태극블루는 제손에서도 전체 테가 뜨기는 해서 한번만 츄라이해뷰세오 ㅋㅋㅋㅋㅋ,False Negative
audacity asked prove anything crew demand believe twaw,False Negative
,False Negative
country gone soft theres 400000000 us citizens let run around saying anything wants stolen top secret info hes pawning angry enemies usa nail type sink,True Positive
realized theres bunch ѕοујаkраrtу people qrting angry reason hahaha,True Positive
maybe wanted stop say hardy mfowethu lentareene le angry,True Positive
would allowed adopt hadnt already surgery,False Negative
im scared im angry,True Positive
hes angry good sign,True Negative
قد وسیله شخصیه تقاضاش نکنین,False Negative
bole izin pakai fotonya kak,False Negative
even know lie like theyre gon na get angry might even thank,True Positive
need reported poll though im sure plenty insane polls choice report angry canadians got anger mostly media star ctv cbc,True Positive
超心整備の石が死ぬほど欲しい,False Negative
play suspended due angry buffalo court,True Positive
oh fuck fuck,True Positive
dont know im hurt im angry,True Positive
world start salmon rushdie better stabbed angry islamist trump,True Positive
look angry look dead inside,True Positive
windows 9598 por aquí xd,False Negative
thats wife proof potential angry texts emails get lot youre wrongbutwe arent going click send either still need employed recipient gave birth apparently bought good,True Negative
この道の終わりに辿り着いた時俺はそこに新しい世界を見つけるだろう endless tripangry fist,True Positive
dont like angry,True Positive
want get know someone find makes angry gon freecss hunter x hunter,True Positive
every time see something written think god make four years white house traitor leading country four years boggles mind,False Negative
thats cult behavior always put spin language,False Negative
hyperrealistic cakes make angry via,True Positive
early days parliament plus history tourism australia nz add towke affair made fit purpose bloody angry many people still backed carnival showman,True Positive
course going say didnt know,False Negative
also say pfp amazing bowie vibes giving life,True Negative
paul sex effortlessly sexual effortlessly masculine paul possesses sort masculinity distracts men women makes men angry,True Positive
conte match tuchel last 8 games drawing 2 kaned tuchel 6 times angry,True Positive
maybe really dimpled angry customer service smile relate heavily,True Positive
trump thinks g spot wet part bed sheets,True Positive
inside person people im lashing wish people could think world would much friendlier place majority us others enemies going things make us feel aloneangry,True Negative
dont need believe dont hes accusing serious crime without evidence though believe,True Positive
angry sad solution decided,True Positive
dont daft gonk,False Negative
cat tower call tower powe,False Negative
yeah people say expression scary angry even dont say words,True Positive
favorite songfor kid mom saw watching video got angry,False Negative
friends oliver probably raya kieran would scare lol id define angry either lauren gavin going share answers wip,True Negative
angry look zambie world volumen,True Positive
подсвинок ссылка трёхлетней давности тогда действовал долгосрочный контракт и не было спотовых площадок то что было заплачено вернулось с твоей бывшей страны помноженным многократно а теперь на все твои суды вообще положили большой и толстый,False Negative
hi probably go sleep dont want new couch comfy sera kneeding blanket tummy im tired im happy,True Negative
saw floyd mayweather back alley crack pipe im angry distraught,True Positive
says dude likely still lives mom smoking pot job,False Negative
whats like sensitive crybaby youre angry whos gon na take seriously im sobbing absolutely fucking one,True Positive
,False Negative
looks like dressed like get railed like angryhatesex type railed rile u fuck u put place,True Positive
live london geography makes sense irl either vote feature,True Negative
एक बर फर स njac लन चहए,False Negative
,False Negative
seem angry ok,False Negative
havent done one either ill never get 1000 followers hover right,True Positive
,False Negative
youve idea get spayed neutered may get pregnant,True Negative
advanced,True Negative
mrdont make angry wouldnt like im angry,True Positive
people thar get angry emojis please get well soon,True Positive
guinea pigs scream dont feed quick enough theyre little shits,True Positive
makes sick amp angry beautiful animal murdered people fcking stupid,True Positive
could rough draft 30 minutes imagine em could actually angry doubt wastes breath outside lines tweets imagine,True Positive
young people sick tired running pillar post kinds utterly useless paperwork instituted regulatory authorities cant get anything done time angry frustrated ready revolt,True Positive
hehe,False Negative
بعذرك لان تعليقي ماكان على ذي لخبطت,False Negative
learning something new,True Negative
mr dorset precious anthony front angry striptease theres dorset background fully clothed calling dunk water refreshing prudence would crack pairing,True Negative
hopefully angry,True Positive
el pato vivía la vuelta de mi casa cuma como el solo jajajaja hasta putean un vecino con el que tomaba siempre en volver al paseo ahumada 4,False Negative
law like female orgasm like would know,False Negative
一本正经的猿老师,False Negative
pitiful overall health hygiene,False Negative
quiero hacer bolita,False Negative
voted lying trumparatchik,True Positive
governorgeneral david hurleys response,False Negative
im mad agree angry texted one directors company hes one know watches show,True Positive
incoming angry spics comments,True Positive
ignite angry trump supporters starting something delay election would legal guys fbi phoenix today probably fbi dressed trump clothes trying plan another insurrection aware,True Positive
angry,True Positive
rep longer abt conservatism freedom policy values principles constitution patriotism america 1st opportunists one side millions angry people feel life hasnt paid respect think due white grievances,True Positive
obvious opinion 45 base angry problem riddled victims believe theyve left better life reason control wapo opinion piece mentality january 6 persons cult,True Positive
easy get angry suka bikin orng cemburu karna diposesifin fun diem klo marah ada kalanya gamau diribetin sma pacaran alias mau sendiri jdi gamau diganggu lol,True Negative
people living miserable angry lives,True Positive
mainly projection maybe people see goes qifrey fears anger avoids angry people whenever gets angry like light switch one minute hes calm next hes angry,True Positive
looks like multiverses imo,False Negative
accuse lips thats sure sign degenerate hes licked away hes stood outside primary school,True Negative
im alone youre many cry angry,True Positive
nna im interested angry im interested look eatablei mean edible,True Positive
midari makes scaredbut happy shes kinda like rottweiler cute angry,True Negative
やばいことになった民族構成を知りたいかも,False Negative
im angry government go tweet mad govt im,True Positive
cattos really want cat guinea pigs unfortunately friends pupper,True Positive
speaking jew also confused antisemitism existed young saw connections spoke jews understood lets say dont blame people disliking jews majority fact antiamerican,True Positive
,False Negative
let guessangry white boy related,False Negative
knows dont think even debies,False Negative
agree modi ji,False Negative
instagram 74 gear angry rant instagram scam nobody talks,True Positive
ultimate gain satanists,False Negative
ولی جدی منی ک صب تا غروب سر کارم و اومدم هم باشگاه میام توان رل زدن ندارم تو ناشناس هی میپرسید سینگلی یا نه خاستم بت بگم اینو هیچ دختری قبول نمکنه ما سینگل ب گوریم,False Negative
theyve told tinys mewmoop libertys mraaprrip,False Negative
otherwise might vulnerable sad ashamed frightened angry robs us chance help make meaning might less self tormenting kind get better present w mess others end,True Positive
hot takes get hot takes 100 grade bullshit hot takes,True Positive
,False Negative
hey wtf going tua twice guy dude beat college beat relentlessly nfl far inferior supporting cast shit makes really angry,True Positive
entire country upset angry,True Positive
tutorial sam beddoes angry video game nerd adventures soundtrack 2013 245 playing,True Positive
act swiftly one avoid otherwise certain garbage collection angry star powers,True Positive
ill start fbs tomorrow,True Positive
thats dandy brain damage starts showing somebody says hey b angry time h heart attack blue six months maybe 7 lucky,True Positive
gentle feminine sometimes love hate uptight angry use,True Positive
يعووووووه حمار الي يرد وهو مواصل,False Negative
,False Negative
cgarity dollars racking,False Negative
liked trying giving angry brow sharp beak done touching design right making new head scratch,True Negative
new nickname jk angry food muncher,True Positive
little angry reactions cover huh,True Positive
left didnt care threats attacks murder law enforcement get angry folks expressing disappointment sudden big deal,True Positive
