Text,Category
living bpd hard constantly ongoing feelings emptiness worthlessness even meds still feel way intense past days still feel useless lacking purpose music least given something work towards,True Positive
still get mad people see beauty within see beauty know others dont want train people think blackness worthlessness,True Positive
scenario 2 gets freddyd one knows play bhvr nerfs worthlessness becomes memetier pick people still play due voicelines forever low tier lists,True Positive
whole paper testament worthlessness post wank critical self reflection,True Negative
got overwhelming feeling worthlessness,True Negative
worthlessness thats sure consume dares stop jumping sake jumping becomes purpose socalled passion plus jumping fred tricks believe hes control situation amp calls shots,True Negative
ceasing eyes drew vision fading second passed within mortal state fell victim grave wounds gushed darkened ichor worthlessness sense doomed maneven would endure body,True Positive
abused children prone worthlessness doesnt permit pride envy wout coaching amp lust sex passion cunning jaded prostitute remind growing amid selfrighteous judgmental xtians bible belts shiny buckle,False Negative
8 time power didnt child meets deep archaic need push every advantage fight psychological survivalthe antidote unbearable feelings shame worthlessness must prepare,True Positive
jesus says blessed poor spirit kingdom heaven declaring enter gods kingdom must recognize utter worthlessness spiritual currency amp recognise spiritual poverty amp need god,True Positive
mean probably none theres also really levels guilt guilty guilty also probably cause whole different thing,True Positive
heres see hell cheerio therapy isnt enough need guilt trip children harass,True Positive
let go negative emotions guilt regret fear inner conflict medita via,True Positive
supposed petty guilt trip something never friends,True Positive
actually find super super unprofessional ive cancel therapy appointments extremely last minute covid etc therapist would never dream giving guilttrip like like especially youve time everything past,True Negative
feel fucking useless rn man things help im exact position things idk harboring lot guilt imscared bad terms feel really bad im stuck little things dont matter,True Positive
crooks never provide evidence guilt,False Negative
feel ungodly amount guilt people tik tok trick friends getting minion face paint,False Negative
hes crying search warrant found something proves guilt cry louder,True Positive
dont theres shame although feel little bit guilt guy cleans gutters older amp im old ladders,True Negative
hope catholic converts like us og catholics crippled unrelenting guilt rest lives,False Negative
statement po reflects part failures elections,True Positive
many women children us run lives protect children sps rcmp cared thought dead pressure blatant failures solidarity dawn,True Positive
see reason everyday failures let pro field take charge fgs haba dont forefront tasks every time,True Positive
cant say definitively fishing wrong also cant say arent either justice system numerous failures past always right,True Positive
munhu wese anenzara bro people needs stop replying soft soldiers 1st world countries zvemu zimbabwe inzara period funny soldiers nerve beat protesters suffering result regimes failures,True Positive
real reason sometimes projects fail venture opponents call upon failures whole,True Positive
lol show never ends get butchered blood draws expect people able accurately make failures sucking pfizer heads sand,True Negative
nara folks prosecuted far many people last 40 years far less serious failures maintain confidential information pra updated gop 2015 expected hrc potus 2017 teeth fra,True Positive
sd card failures absolutely suck 3 times shoot video intro field production class,True Positive
certainly argue effectiveness president failures suggesting made millions something nefarious pretty dumb see original tweet hilarious followed im dumb lol,True Negative
need evidence 7 major failures biden presidency,True Positive
causes irrational thoughts might wonder irrational thoughts create illusion reality thoughts stem selfblame poor selfesteem anxiety poor social communicative skills name,True Positive
thank fortesa selfblame constantlyor invalidated toxic people,False Negative
reminding selfblameshame trauma educational institutionssettings may never get rest life im literally fighting trauma responses daily enough okay fking okay,True Positive
على عكس السائد بس ال self blame العقلاني شئ صحى و محفز لتصحيح الاخطاء و الاحوال مفيش اسوء من ان نفسك تصعب عليك و تبقى رامي طوبتها لدرجة انك تكسل تلوم نفسك,False Negative
mag self blame kasi wala naman ibang sisihin,False Negative
avoid making sense pain soon finding relief quickly blaming someone anguish seeking revenge dont cave seek refuge self blame self pity playing role victim martyr,True Positive
without formal dxs hard break defense mechanisms especially self blame biggest fight forever trying break toxic circles,True Positive
ive noticed self blame fitting anywhere wasnt choice fit painful also rebel fitting life affirming im individual owned anyone family,True Negative
timeless transcendent poetry enlighten word word reconciliation selfblame amp judgment todays modern reality modern mystical get hearth,True Negative
ako lng ba ung nag susuffer breakdown every night sobrang hirap sabihin kahit kanino wala din akong balak mag kwento puro self blame kung ano ano pumapasok sa isip ko point na nadodown na ako di ko na alam gagawin sa sarili ko,True Positive
dont repress anger keeps u safe tells u danger environment,True Positive
easy target bullies actions scarred quite badly tend scar victims feeling many different things death first thought karma didnt deserve death shitty five years,True Negative
death might afford thought made smile afterlives reapers said haunted sent hell reapers survived hazards employment cursed insanity early death could small blessing,True Positive
always thought people making money death pariahs like trying feel sorry card despicable,True Positive
dont like politics well liked politics dont like assaults capital neither law thought party law order jan 6th thugs unleashed cause chaos death fox news joke,True Positive
fat ass eyelashes death sum u hoes u never thought,True Positive
finally watched listened podcast nailed exploiting grief villinize dr strange could wrong death wonderful female character thought movie slow times didnt fully hold attention,True Positive
im proud garland complained thought would indictments yesterday said wrong garland hes following law wherever may lead hear death threats coming ppl astonishing kevin mccarthy ashamed,True Positive
irs needs agents tbh lets see orwell socialist solzhenitsyns wife said gulag archipelago little folklore wrongly appraised bradbury mad tv becoming popular thought would death books rand,True Positive
yeah yall dont care much corruption diversity scares death trump white man gives warm fuzzies problem criminal fake rest us pay consequences actions thought believed law order,True Positive
always thought infecting everyone spike proteins course may straight death slow reduction life expectancy,True Positive
tw pet death graphic even still believe upon seeing fall cat tower sieze completely blue first thought wasnt surprising hes always weird mentally physically,True Positive
values crooked btch one friends committing suicide next bill still visit epstein island pal jeffrey gone,False Negative
committed suicide set fire,True Positive
replace everything aquamans right ayer cut suicide squad deal,True Positive
seu perfil foi visto por 6 pessoas nas últimas 2 horas,False Negative
stfu youre telling leave someone alone mocking someones threat suicide bout yall leave janina alone reap sow,True Positive
hey taking want pass along reminder silently suffering whatever reason please dont hesitate dial 988 us andor visit suicide amp crisis lifeline website matter,True Positive
im sorry wish could take pain away always know friend im always ever want talk vent im listening ear tbh feel exact way recently sexually assaulted feel like committing suicide,True Positive
tw suicide im pretty overweight shit ngl like wan na kms sometimes wasted life im looks useless worries page kkofi nobody donate tip havent much supporting yet,True Positive
think actual numbers like 900 yeah biggest mass suicide history think,False Negative
increased acceptance trans people san francisco also changed rate suicide,False Negative
still quite cheap considering russian army committing suicide thats priceless,True Positive
bruh mom offering graphic design services random old ladies facebook want 10x5 pixel photos edited photoshop going send early anxiety induced grave,True Positive
anxiety poop heading venue,False Negative
anxiety thats part asked,False Negative
anxiety attack mostly done back scheduled tweeting,True Positive
soon joined viper single recognizable feared aircraft naf low level evoke terror also ability loiter around target area prior attack caused additional anxiety,True Positive
always brain get rid anxiety nuke orbit taking almost every emotion leaving desolate wasteland burnt husks dysphoria confused crying behind,True Positive
thanks maybe anxiety idk start back work next week bunch new responsibilties year feeling super confident,True Negative
go streaks used smoke mostly sativa staying really active long stretch favoring indica anxiety reasons lately ive smoking without major preference mostly purchased hybrids,True Negative
told mom earlier anxiety attack immediately goes topic asks take work end month trip shes planning lol,True Negative
seconded anxiety grown past years expecting actually dissipate need dig deeper solutions would welcomed investigation,True Positive
alone friend im praying feelings depression anxiety subside meaningful friend come life soon,True Negative
eh one two believes lives control astrology really core way read patterns interest science human behavior see appeal nothing astrology says cure depression prayer,True Negative
know feel depression updated reached new level im denying depression probably isnt yet sometimes feel like cant get rid forever,True Positive
ur depression better fucking behave else ill beat bare fists,True Positive
depression,True Positive
pete davidson doesnt appear happy wonder dealing depression something goes woman woman relationship ends quick,True Positive
depression sit fuck partying saturday,True Positive
short control depression something overcome ones told fault control lied get money,True Positive
yet nobody wants talk people research paper suggesting people live proper almost always overcome depression meaning break bad habits build good ones live proper life youll overcome depression,True Positive
received shit someone asking ever diagnosed keep mouth shut id like see look face truth weve lied along depression,True Positive
offered simply live healthy pray belief god helped got depression heres thing,True Negative
told story depression offered advice anyone whos struggling dont want take meds dont luxury diagnosed,True Positive
im gone lie periods hell im ready birth control whatever come weight mood swings edges dont give fuck point,True Positive
ctrl really helps mood swings absolutely adore album,True Negative
video games increase immune system support health ways helping mood swings,False Negative
n mood swings,False Negative
rough day kinds moods,True Positive
im probably going get crap oh well bpd borderline personality disorder severe anxietydepression ptsd im meds usually manage sometimes mood swings get better cant always control,True Positive
video games also believed reduce mood swings reduce anxiety stress improve focus memory,False Negative
mood swings common women period stuff men take effence downgrade,True Positive
happy birthday bestie nd innocent person avi may birthday brings lot joy happiness thanks everything given nd also thank bearing mood swings njoy day sending love n hugs party,True Negative
walk park five minutes swings way elevate mood today mahal ko blessings gratitude,False Negative
mood swings worst fr,True Positive
dont know works thats political muscle 28 turns thousand fines interest legal fees plea deals means prison time political opposition smear job loss home savings retirement,True Positive
thats loss thats rent presumably get value exchange need net property taxes interest opportunity cost payment regular long term maintenance insurance depreciation appliances water sometimes utilities,True Positive
gradual loss interest trivial things depression better focus things people matter fortunately theyre,True Negative
worst probably wrong word 2nd biggest amp fastest developed world faster amp bigger even japans property market imploded years ago good 2st time buyers lets hope bought recent yrs get thru interest rate rises amp loss equity,True Positive
worst probably wrong word 2nd biggest amp fastest developed world faster amp bigger even japans property market imploded years ago good 2st time buyers lets hope bought recent yrs get thru interest rate rises amp loss equity,True Positive
takes 2 days watch movie loss interest everything j unbelievable,True Positive
pp symptoms anger anxiety mood swings fatigue loss interest appetite hopelessness guilt weight gainloss,True Positive
yes even japan time property bubble implosion around amp high drop value rising interest rates loss equity current owners especially purchased recent yrs may severe lets hope survive forced sales,True Positive
news alert sent imf subscribers loandepot brainchild industry veteran anthony hsieh tuesday afternoon reported 2238 million loss second quarter amid higher interest rates,True Negative
diagnose cause loss interestif cantfind anything else youd rather likely enjoy itas job dothen go life long never late get something dont want,True Negative
hes stay even washas said isnt stay listens kpop found interest sk group knows well yes compared didnt say theyre terrible didnt say anything reminded sk one respect kpop,True Positive
miwaﾁｬﾝ おはよ stigma うんうん 胸がぎゅーんってなる 朝から嬉しい気持ちありがと わたしはぐぅさんの本物の天使かと思った この伝説のeuphoriaが好き,False Negative
peak gender euphoria photo never achieve greatness,False Negative
ayer empecé ver euphoria alch voy en el capítulo 3 cada que veo jules digo sisoy,False Negative
assim explicando pro vinicius que cassie de euphoria sofreu mais q juliette,False Negative
rue euphoria,False Negative
朝食準備でflowersのイントロ聴き逃したと思っては何度も戻りeuphoriaで踊り出しベースにうっとりしてメイクが止まりギターソロですっかり夜モードに仕上がったところで灼熱の中出勤 ギャップが過ぎる 家でwonk観られる贅沢がもうすぐ終わってしまうなあ,False Negative
los temas de euphoria gtgt,False Negative
cause euphoria,False Negative
someone genv boys spinoff said show like euphoria superpowers,False Negative
good sean bean speaking ridiculousness intimacy coordinators air quotes could worked responsible actors director prior filming think euphoria intimacy coordinators,True Negative
se sydney felicia vou ter tantos mimos de foto dela set ela tirava várias set de euphoria,False Negative
read failed suicide attempt least thats lawyers pushing,True Positive
theyll evaluations idt enough details come us say exactly isbut really suicide attempt sit prison,True Positive
need help also deserves pay killing people suicide attempt make personal choice end life lines crossed take lives process,True Positive
considering suicide attempt may get wish,False Negative
accept suicide attempt reason behind crash also believe time max sentence,True Positive
personal memoir sixtyninth street suicide wisdom learn failed suicide attempt posted calumet editions,True Positive
funny wake suicide attempt first thought hey,True Negative
lol feel hard original university went 18 kicked suicide attempt cause liability two students already died year ended degree one satellite campuses since wouldnt let back main,True Positive
bare rest life failed suicide attempt man blasphemous,True Positive
yeah well nato neither face russia things today term calibration would get whole new meaning would absolute insane suicide attempt west dont see us would stand gain,True Positive
guess failed suicide attempt maybe,True Positive
oobjection object witnesss talkativeness,False Negative
want find new friends dont want someone whos near want talk someone would bare talkativeness humor everything may smartest among friends another option,True Negative
go periods talkativeness,False Negative
polite long accept meaningless talkativeness,True Positive
oobjection object witnesss talkativeness,False Negative
youre liar swindled talkativeness,True Positive
mbti 16 personalities talkativeness video,False Negative
theme upcoming splatfest wait iiiiit gunboats vs talkativeness,False Negative
oobjection object witnesss talkativeness,False Negative
100 sure psychometrics isare tbh could help discern things like jakobs phlegmaticism joys talkativeness psychometric palmreading would interesting,True Negative
recognisable someone gets energised company others amongst traits include talkativeness assertiveness high amounts emotional expressiveness made extraverted people widely recognisable many years social interaction,True Negative
minute thought smol ame formula 1 racing team lol,True Negative
dude im boat mind racing thoughts negativity scenes head arent even happening havent started meditating would really suggest 10min every morning fresh air couple times day im anything need bro,True Negative
moment cant go sleep cause mind still racing thoughts dampd session anyway seems stay late today,True Positive
involved till recently artificial breeding business seen harness racing game shrink thought would always huge amounts generated tb pleasure horse world,True Positive
walked together rae quiet first hands fidgeting around pockets playing loose change twirling rings around fingers little nervous habit helped distract racing thoughts,True Positive
people racing worst takes today really cant stomach thought actual accountability,True Positive
worthy date literal embodiment sun lwj hadnt able sleep night mind racing thought make sure date perfect knew wrong say loved someone met else explain feelings,True Negative
racing thoughts shore needed stop became waves sail boat,False Negative
thought could friends,False Negative
mother sister side amp rest family offer sincere condolences thoughts also friends fellow jockeys trainers owners worked hit entire racing industry hard look,True Negative
thought life good didnt look good,True Negative
hasnt sold people one actually standing people constitutional recognition doesnt fix alcohol abuse gambling dv indigenous communities,False Negative
conventional treatment wernickekorsakoff syndrome due longterm alcohol abuse,True Positive
wouldnt thought alcohol abuse smacks incipient alcoholism ive seen ever since always sets alarm bells,False Negative
3wks5days actually sport used exaggerating arent mr dossier weapons mass deception genuinely got people killed brown never went country alcohol abuse impaired memory dont play golf came poor working class,True Positive
doesnt even begin cover health emotional mental crime financial costs associated alcohol abuse,True Positive
tension fry creates story palpable loved days wine roses get copy,True Negative
thats give johnson takes alcohol abuse mad nads,True Positive
uncle murdered every witness blackout drunk blame laid aunt died prison day one really knows truth told story young still struggle alcohol abuse alcoholism tough demon fight,True Positive
much likely alcohol abuse,True Positive
pelosi great one makes wonderful exactly history insider trading alcohol abuse twitchingchewing facial movements antipsychotic drugs,True Negative
warning nsfw sensitive topics ahead trigger warning depictions alcohol abuseaddictionmental illness mentions child neglectabuse occasional gore depictions violence proceed risk potentially triggering posts usually tagged moon,True Positive
reminiscing back one time called bipolar disorder bipolar disease forgot word disorder,True Positive
someone bipolar disorder frustrating hear things even diagnosis people began treat differently based perceive medicatednon medicated,True Positive
im sure theres diagnosis misunderstood among general public bipolar disorder presence emotional dysregulation mean one bipolar,True Negative
right bulls cuckholds hot wives hot non gender conforming partners lovers access 3d printed fa firearms gun free zones steel core ammo even ex cons bipolar disorder,True Negative
seeing lot stinky takes borderline personality disorder bipolar disorder people act untreated want yall assume person harm someone manic episode conditions incredibly stigmatizing,True Positive
oh yeah think ended diagnosed bipolar disorder passed may 7 last year get dilated cardiomyopathy guesses whether jab 124 x,False Negative
lmao im cancer literally bipolar disorder,True Negative
disability qualification personally happy divulge people interested details affects hope develop properly interesting conversation,True Negative
slater fought battles one knew bipolar disorder suicidal idealization powerful addiction brought knees,True Positive
anxiety precursor bipolar disorder,True Positive
bipolar disorder av actress manic sexually unrestrained bipolar disorder series japanese edition z5nv4ou,True Positive
thought disorder experts tell ya thoughts arent real,True Negative
delusional disorder mental illness person delusions accompanying prominent hallucinations thought disorder mood disorder significant flattening affect delusions specific symptom psychosis delusions bizarre nonbizarre,True Positive
image result inkblot personality test test designed look patterns thought disorder schizophrenia evolved include areas,False Negative
harrowererickson multiple choice rorschach test tests hemcr may 21 2019 rorschach test projective psychological test developed 1921 hermann rorschach measure thought disorder purpose,True Negative
eating disorder scary food thought disorder,True Positive
since sequential thought disorder fact people states actual panic fight flight mode means pattern recognition go haywire basicaly ducttaping parts time sequences,True Positive
tis schizophrenic merely schizotypal something paranoid delusional nature however come alternate narrative ti flat accept diagnosis schizophrenia paranoid schizophrenia sequential thought disorder,True Positive
reporting tfgs acts amp statements nothing said article wasnt expected psych professionals long took office man thought disorder greatest scandal come failure diagnose pathology amp dq,True Positive
thereby negating reality logical picture world utilizing network whereby make sense world form language probably reason people prone psychotic effect hearing nonexistent voices thought disorder came,True Positive
pathology astounding delusion assort thought disorder hearing non existent voices pent nervous energy unable free flow body via emotional affect could akin thought speaking thorough put emotion process,True Negative
insane thought disorder reasonable explanation,True Positive
delusion,False Negative
hate twinks like everybody else wtf tripping delusion one hell mental disorder,True Positive
ou cê marcou galves e não marcou sksukaudkajd que isso matheus,False Negative
かわいいいい めぐ坊のイメージぴったり,False Negative
delusions believe believe,False Negative
trump commits crimes entire life dems shameful lol delusions run deep,True Negative
much comfortable pathogical delusion thats required think trump innocent victim government persecution,True Negative
said something racist proven wrong say something even racist enjoy delusions,True Positive
2016 election stolen youre cult delusion powerful drug,True Negative
must delusion,False Negative
makes stronger ill take vision great delusion dont mind heretical teachings abyss sign,True Negative
나랑 사귀자 너와는 가족으로 돌아갈 수 없어 신,False Negative
kok bisa yaaotak logikanya kmn yaadia gampang amnesia sih,False Negative
really remember benghazi amnesia like students wrestlers ohio,True Negative
vai que um dia eu tenho amnésia já aconteceu,False Negative
selective amnesia lindsey graham wants new special counsel time investigate,True Negative
tbtb amnesia,False Negative
amnesia memories wasnt good start persevered play otome games,True Negative
se eu fosse uma pessoa assim eu trataria de ficar bem quietinho meu canto,False Negative
センターバミリと化した主人公を乗せ砂嵐の荒野を行くマッドマックスの輸血シーンオマージュしたロケットエンジン搭載の列車にユニコーンの角の如く東京タワーが生えてるのはもう文脈が過積載なのよ,False Negative
didnt trump thank sarah palin great vice president might want throw stones glass house also selective amnesia blunders trump office hilarious,True Negative
quando vejo um twitter desse eu fico perguntando esse senhor deve ser doido ou sofre de amnésia profunda volte pra cadeia luladrao,False Negative
person basis upon form opinion amp wants rip someone bc false belief superiority hes alone many expressing bs ducey get wanted accept premise goal achieved,True Negative
history rooted anchored false belief superiority hated despised 7 things god hates,True Positive
ordinary event special personal meaning belief thoughts arent ones disorientation mental confusion slowness activity false belief superiority 2,True Positive
symptoms schizophrenia cognitive thought disorder delusion amnesia belief ordinary event special personal meaning belief thoughts arent ones disorientation mental confusion slowness activity false belief superiority 1,True Positive
god created us heavens surround us equal footing god assumptions superiority one false belief,True Positive
define fascism interpretation belief racial superiority feeling moral superiority false feeling belonging special group people whose selfworth back slapped contemporaries shallow,True Positive
lisa continued belief false dichotomy personally define world face much evidence contrary views definition confused see anyone toss type malarkey sate ones stubborn superiority,True Positive
ridiculously false sense superiority based upon country race case perversion christian religion nothing belief system makes people superior human planet,True Negative
replace faith philosophy youre getting somewhere patriarchy many delusional ideas manipulates people religion one add racism misogyny homophobia othering amp false belief superiority someone else real effective one,True Negative
didnt say republicans r white supremacists asked party r part blm simply protest unjust murder terrorize amp white ppl color bc hate amp false superiority belief hv done things classify terrorists,True Positive
im sick death religious belief seriously 21st century people enough sky fairies false superiority patriarchy propped long bs,True Positive
fr diabolical disorientation place holy sacrifice crazy trend spreading muddle confusion west nato summit church ugly clownish satanic mockery god holy sacrifice,True Positive
iaap avoid medication cause problems try adding dim nightlight amp stuffed animal seconds disorientation waking nightmare scariest consider cpap causing increasing nightmares amp alternatives 12,True Positive
bf put mom suffers senior care facility week please pray families experiencing separation hard senior experience disorientation fear anger adult child,True Positive
disorientation stellar,True Negative
moment disorientation feels hes looking though spotlight shined wedge bloodshot water sky become sea airplanes hungry fish harrying prey dark,True Positive
hate feeling disorientation im bad berry picking winter snowing really hard im woods dark turn around tracks gone makes dizzy,True Positive
seniors often dont drink water feel shame continence disorientation sometimes symptom dehydration,False Negative
symptoms dehydration include disorientation irritability sleepiness,False Negative
eightythree anatomy disorientation glial blustery eternity,False Negative
lighting essential disorientation definitely tool arsenal,False Negative
keep information space а total control ensure а troublefree functioning enemy images power resort tools misinformation disorientation 47,False Negative
semangat buat kamu juga jangan self harm teruss,True Positive
league legends ist mentale self harm,True Positive
even 1 higurashi extremely important satoko first anime character ever saw faced similar abuse though mine came brother rena first character saw history self harm could keep listing,True Positive
anyone ever stabs theyll shocked cause probably even care honestly big motivation accustomed self harm nobody else harm besides mrder,True Positive
amp mean ass likes cancers scorpios straight self harm,True Positive
self harm ig,True Positive
afff n vou ter recovery de self harm nnn,True Positive
selfharm,False Negative
need face scrub self harm,True Positive
dont tell therapist think might consider selfharm,False Negative
radical would believe one must transition survive thousands years people lived skins country prosperous could dont like body issue worthy feelings selfharm much first world problem,True Negative
kasatkina amp russian players tournament ashamed lapse undercuts canadas principled commitment ukraines defence russian aggression,False Negative
aggression tells need know lmaoo,False Negative
ukraine instantly surrendered fact didnt sign american aggression recently ruined haha funny account,True Negative
right russia waging aggressive brutal war aggression europe russians live normal life travel europe tourists,True Positive
report gaza act confront zionist aggression via,False Negative
dont understand yoruba guess hes transferring aggression nigeria cute poor dogs,True Negative
first fight one peak 160 masterclass counter punching controlled aggression eubank really simply best point,True Negative
